"","Animal","Treatment","MMP1","MMP2","MMP3","CTXII","KC","MNO"
"1",1,0,999.91,6943,174.97,322.348,3786,0.195
"2",2,0,1385,6516,190.3,276.364,6018,0.583
"3",3,0,273.48,8622,163.11,266.271,1528,0.349
"4",4,0,520.39,4142,181.41,300.03,4284,3.07
"5",5,0,200.92,5248,160.05,322.498,2326,0.836
"6",6,0,1323,12442,183.81,273.988,2845,0.17
"7",7,0,548.65,2554,132.79,314.98,3165,0.56
"8",8,0,329.98,3307,180.82,311.196,1149,0.594
"9",9,0,1090,7796,173.54,321.897,1277,0.143
"10",10,0,1964,10452,223.25,288.394,5535,0.435
"11",11,0,234.94,5109,161.7,219.585,1225,0.161
"12",12,0,711.86,2656,148.33,308.08,437.52,0.656
"13",13,5,267.38,556.21,184.77,322.298,3239,14.663
"14",14,5,634.97,375.2,166.66,331.099,2734,0.655
"15",15,5,224.18,978.53,151.01,273.171,1931,0.368
"16",16,5,418.43,901.76,193.68,282.174,4094,0.49
"17",17,5,225.34,1204,178.31,320.202,3136,11.847
"18",18,5,214.2,741.64,157.46,333.592,1259,0.183
"19",19,5,1561,3621,157.69,286.472,4357,0.522
"20",20,5,312.52,888.8,155.34,296.886,2257,0.717
"21",21,5,1767,3297,176.4,341.372,2316,0.141
"22",22,5,427.33,2879,152.77,290.598,954.27,0.172
"23",23,5,353.36,3363,168.79,264.585,1591,0.182
"24",24,5,1867,3084,209.24,296.013,5391,0.839
"25",25,50,881.97,1449,181.18,330.016,3728,1.822
"26",26,50,713.03,581.95,201.32,300.495,2681,0.429
"27",27,50,494.82,2953,179.26,270.986,5138,0.346
"28",28,50,2050,1115,214.38,282.835,5099,0.411
"29",29,50,311.4,1161,188.01,279.804,3587,0.839
"30",30,50,1595,1397,176.4,321.348,2651,4.129
"31",31,50,156.01,0,127.96,300.262,1150,0.309
"32",32,50,1654,2142,203.26,262.32,6675,0.605
"33",33,50,1602,1909,195.86,302.549,3297,0.656
"34",34,50,1645,4153,219.79,353.292,4761,0.303
"35",35,50,2133,3514,211.81,269.706,6308,0.3
"36",36,50,1341,4014,206.67,308.939,4981,0.089
"37",37,0,1073,16629,171.64,303.958,1984,0.176
"38",38,0,1480,11692,205.33,282.438,4869,2.411
"39",39,0,611.17,19339,170.45,306.32,1039,2.343
"40",40,0,1016,5283,138.33,295.051,1371,0.109
"41",41,0,305.95,12251,159.1,309.274,569.47,0.175
"42",42,0,1571,17922,149.49,282.042,1509,0.594
"43",43,0,1217,15345,131.29,337.004,904.55,0.201
"44",44,0,765.42,4589,126.93,305.184,277.08,0.11
"45",45,0,1211,12832,139.26,285.714,492.66,0.569
"46",46,0,1445,4782,149.96,336.74,1429,0.467
"47",47,0,407.6,8168,142.27,348.502,331.06,0.271
"48",48,0,1032,16834,129.23,306.272,244.02,0.118
"49",49,5,237,1817,169.03,283.851,1957,0.216
"50",50,5,179.78,178.86,139.26,303.394,1409,0.516
"51",51,5,154.29,235.67,127.27,313.665,1235,0.403
"52",52,5,759.77,1336,146.93,376.59,1781,0.341
"53",53,5,582.97,4708,170.09,309.322,1140,0.237
"54",54,5,202.59,238.69,138.8,293.408,719.68,14.663
"55",55,5,1837,36683,158.52,303.676,2761,2.253
"56",56,5,693.61,4402,161.46,316.596,762.82,0.246
"57",57,5,663.04,5237,109.74,308.414,985.07,0.137
"58",58,5,549.64,6496,116.31,288.977,226.4,0.337
"59",59,5,795.07,12130,148.56,292.181,366.95,17.428
"60",60,5,1914,17878,199.98,323.754,2688,0.155
